date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:11	27529/27529	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2016:06:57%20GMT	https://www.nitt.edu/home/students/facilitiesnservices/lhc/+login&subaction=register	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/+login&subaction=register.html	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:11	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:57%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs401/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs401/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:12	24673/24673	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2016:06:57%20GMT	https://www.nitt.edu/home/students/facilitiesnservices/lhc/+search	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/+search.html	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:12	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:58%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs403/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs403/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:12	219/219	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:58%20GMT	https://www.nitt.edu/academics	D:/nit/nit/www.nitt.edu/academics	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:12	24938/24938	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Mar%202022%2016:06:58%20GMT	https://www.nitt.edu/home/students/facilitiesnservices/lhc/+view	D:/nit/nit/www.nitt.edu/home/students/facilitiesnservices/lhc/+view.html	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:12	220/220	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:58%20GMT	https://www.nitt.edu/home/academics	D:/nit/nit/www.nitt.edu/home/academics	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:12	220/220	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:58%20GMT	https://www.nitt.edu/admissions	D:/nit/nit/www.nitt.edu/admissions	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:13	221/221	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:58%20GMT	https://www.nitt.edu/home/admissions	D:/nit/nit/www.nitt.edu/home/admissions	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:13	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:59%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs405/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs405/index.html	(from https://www.nitt.edu/home/sitemap/)
